Item,Calories,CaloriesfromFat,TotalFat,SaturatedFat,TransFat,Cholesterol,Sodium,Carbohydrates,DietaryFiber,Sugars,Protein,VitaminA,VitaminC,Calcium,Iron
Spring Assortment,3285.0,1485.0,166.0g,62.0g,0.0g,275.0mg,5295.0mg,453.0g,13.0g,224.0g,42.0g,0.0%,0.0%,0.0%,0.0%
Maple Icing with Chopped Bacon,3285.0,1485.0,166.0g,62.0g,0.0g,275.0mg,5295.0mg,453.0g,13.0g,224.0g,42.0g,0.0%,0.0%,0.0%,0.0%
Total,3285.0,1485.0,166.0g,62.0g,0.0g,275.0mg,5295.0mg,453.0g,13.0g,224.0g,42.0g,0.0%,0.0%,0.0%,0.0%
Blueberry Pancake - Blueberry Icing with Maple Drizzle & Powdered Sugar,255.0,110.0,12.5g,4.5g,0.0g,20.0mg,390.0mg,37.0g,1.0g,19.0g,3.0g,0.0%,0.0%,0.0%,0.0%
Vanilla Icing with Oreo Cookie Pieces,275.0,115.0,13.0g,4.5g,0.0g,20.0mg,405.0mg,39.0g,1.0g,21.0g,3.0g,0.0%,0.0%,0.0%,0.0%
Strawberry Cheesecake - Strawberry Icing with Cream Cheese Drizzle,260.0,110.0,12.5g,4.5g,0.0g,20.0mg,390.0mg,37.0g,1.0g,20.0g,3.0g,0.0%,0.0%,0.0%,0.0%
Cinnamon Bun - Cinnamon Sugar with Vanilla Drizzle,220.0,110.0,12.0g,4.5g,0.0g,20.0mg,390.0mg,29.0g,1.0g,12.0g,3.0g,0.0%,0.0%,0.0%,0.0%
Sunrise - Lemon Icing with Rasberry Drizzle,255.0,110.0,12.5g,4.5g,0.0g,20.0mg,390.0mg,37.0g,1.0g,19.0g,3.0g,0.0%,0.0%,0.0%,0.0%
Candied Lime - Cinnamon Sugar with Key Lime Drizzle,220.0,110.0,12.0g,4.5g,0.0g,20.0mg,390.0mg,29.0g,1.0g,12.0g,3.0g,0.0%,0.0%,0.0%,0.0%
Key Lime Pie - Key Lime Icing with Graham Cracker Crumbs & Cream Cheese Drizzle,260.0,110.0,12.5g,4.5g,0.0g,20.0mg,390.0mg,37.0g,1.0g,20.0g,3.0g,0.0%,0.0%,0.0%,0.0%
Coconut Key Lime - Key Lime Icing with Shredded Coconut,290.0,125.0,14.5g,6.5g,0.0g,20.0mg,405.0mg,40.0g,1.0g,22.0g,3.0g,0.0%,0.0%,0.0%,0.0%
Glazed,460.0,220.0,24.0g,9.0g,0.0g,40.0mg,780.0mg,63.0g,2.0g,28.0g,6.0g,0.0%,0.0%,0.0%,0.0%
Chocolate Icing with Rainbow Sprinkles,275.0,120.0,13.5g,5.0g,0.0g,20.0mg,395.0mg,39.0g,1.0g,20.0g,3.0g,0.0%,0.0%,0.0%,0.0%
Powdered Sugar,220.0,110.0,12.0g,4.5g,0.0g,20.0mg,390.0mg,29.0g,1.0g,12.0g,3.0g,0.0%,0.0%,0.0%,0.0%
Signature Assortment,2705.0,1385.0,152.0g,55.5g,0.0g,255.0mg,4890.0mg,340.0g,12.0g,132.0g,40.0g,0.0%,0.0%,0.0%,0.0%
Bacon in the Sun: Maple Icing with Chopped Bacon and Caramel Drizzle,2705.0,1385.0,152.0g,55.5g,0.0g,255.0mg,4890.0mg,340.0g,12.0g,132.0g,40.0g,0.0%,0.0%,0.0%,0.0%
Total,2705.0,1385.0,152.0g,55.5g,0.0g,255.0mg,4890.0mg,340.0g,12.0g,132.0g,40.0g,0.0%,0.0%,0.0%,0.0%
Beach Ball: Vanilla Icing with Chocolate Drizzle and Rainbow Sprinkles,210.0,110.0,12.0g,4.5g,0.0g,20.0mg,390.0mg,26.0g,1.0g,9.0g,3.0g,0.0%,0.0%,0.0%,0.0%
Peanut Butter Paradise: Peanut Butter Icing with Chocolate Drizzle,210.0,110.0,12.0g,4.5g,0.0g,20.0mg,390.0mg,26.0g,1.0g,9.0g,3.0g,0.0%,0.0%,0.0%,0.0%
Blueberry Pancake: Blueberry Icing with Maple Drizzle and Powdered Sugar,210.0,110.0,12.0g,4.5g,0.0g,20.0mg,390.0mg,26.0g,1.0g,9.0g,3.0g,0.0%,0.0%,0.0%,0.0%
The Boardwalk: Glazed with Oreo crumbles, Powdered Sugar, and Vanilla Drizzle,225.0,115.0,12.5g,4.5g,0.0g,20.0mg,405.0mg,28.0g,1.0g,10.0g,3.0g,0.0%,0.0%,0.0%,0.0%
Sunrise: Lemon Icing with Raspberry Drizzle,265.0,110.0,12.5g,4.5g,0.0g,20.0mg,390.0mg,40.0g,1.0g,22.0g,3.0g,0.0%,0.0%,0.0%,0.0%
French Toast: Maple Icing with Cinnamon Sugar and Powdered Sugar,210.0,110.0,12.0g,4.5g,0.0g,20.0mg,390.0mg,26.0g,1.0g,9.0g,3.0g,0.0%,0.0%,0.0%,0.0%
Smore's: Chocolate Icing with Marshmallow Drizzle and Graham Cracker Crumbs,260.0,120.0,13.5g,5.0g,0.0g,20.0mg,395.0mg,37.0g,1.0g,19.0g,3.0g,0.0%,0.0%,0.0%,0.0%
