Item,Calories,CaloriesfromFat,TotalFat,SaturatedFat,TransFat,Cholesterol,Sodium,Carbohydrates,DietaryFiber,Sugars,Protein,VitaminA,VitaminC,Calcium,Iron
Spring Assortment,3180.0,1375.0,154.0g,57.5g,0.0g,255.0mg,4975.0mg,450.0g,12.0g,237.0g,39.0g,0.0%,0.0%,0.0%,0.0%
Maple Icing with Chopped Bacon,295.0,135.0,15.0g,5.5g,0.0g,35.0mg,580.0mg,37.0g,1.0g,19.0g,6.0g,0.0%,0.0%,0.0%,0.0%
Blueberry Pancake - Blueberry Icing with Maple Drizzle & Powdered Sugar,280.0,110.0,12.5g,4.5g,0.0g,20.0mg,400.0mg,43.0g,1.0g,25.0g,3.0g,0.0%,0.0%,0.0%,0.0%
Vanilla Icing with Oreo Cookie Pieces,275.0,115.0,13.0g,4.5g,0.0g,20.0mg,405.0mg,39.0g,1.0g,21.0g,3.0g,0.0%,0.0%,0.0%,0.0%
Strawberry Cheesecake - Strawberry Icing with Cream Cheese Drizzle,275.0,110.0,12.5g,4.5g,0.0g,20.0mg,400.0mg,40.0g,1.0g,23.0g,3.0g,0.0%,0.0%,0.0%,0.0%
Cinnamon Bun - Cinnamon Sugar with Vanilla Drizzle,235.0,110.0,12.0g,4.5g,0.0g,20.0mg,400.0mg,32.0g,1.0g,15.0g,3.0g,0.0%,0.0%,0.0%,0.0%
Sunrise - Lemon Icing with Rasberry Drizzle,265.0,110.0,12.5g,4.5g,0.0g,20.0mg,390.0mg,40.0g,1.0g,22.0g,3.0g,0.0%,0.0%,0.0%,0.0%
Candied Lime - Cinnamon Sugar with Key Lime Drizzle,235.0,110.0,12.0g,4.5g,0.0g,20.0mg,400.0mg,32.0g,1.0g,15.0g,3.0g,0.0%,0.0%,0.0%,0.0%
Key Lime Pie - Key Lime Icing with Graham Cracker Crumbs & Cream Cheese Drizzle,285.0,110.0,12.5g,4.5g,0.0g,20.0mg,420.0mg,42.0g,1.0g,24.0g,3.0g,0.0%,0.0%,0.0%,0.0%
Coconut Key Lime - Key Lime Icing with Shredded Coconut,290.0,125.0,14.5g,6.5g,0.0g,20.0mg,405.0mg,40.0g,1.0g,22.0g,3.0g,0.0%,0.0%,0.0%,0.0%
Glazed,250.0,110.0,12.0g,4.5g,0.0g,20.0mg,390.0mg,37.0g,1.0g,19.0g,3.0g,0.0%,0.0%,0.0%,0.0%
Chocolate Icing with Rainbow Sprinkles,275.0,120.0,13.5g,5.0g,0.0g,20.0mg,395.0mg,39.0g,1.0g,20.0g,3.0g,0.0%,0.0%,0.0%,0.0%
Powdered Sugar,220.0,110.0,12.0g,4.5g,0.0g,20.0mg,390.0mg,29.0g,1.0g,12.0g,3.0g,0.0%,0.0%,0.0%,0.0%
Signature Assortment,3470.0,1455.0,164.5g,61.5g,0.0g,255.0mg,5025.0mg,503.0g,12.0g,284.0g,41.0g,2.0%,0.0%,0.0%,4.0%
Bacon in the Sun: Maple Icing with Chopped Bacon and Caramel Drizzle,310.0,135.0,15.0g,5.5g,0.0g,35.0mg,590.0mg,40.0g,1.0g,22.0g,6.0g,0.0%,0.0%,0.0%,0.0%
Beach Ball: Vanilla Icing with Chocolate Drizzle and Rainbow Sprinkles,290.0,110.0,12.5g,4.5g,0.0g,20.0mg,400.0mg,42.0g,1.0g,24.0g,3.0g,0.0%,0.0%,0.0%,0.0%
Peanut Butter Paradise: Peanut Butter Icing with Chocolate Drizzle,315.0,130.0,14.5g,5.5g,0.0g,20.0mg,415.0mg,46.0g,1.0g,28.0g,4.0g,2.0%,0.0%,0.0%,4.0%
Blueberry Pancake: Blueberry Icing with Maple Drizzle and Powdered Sugar,280.0,110.0,12.5g,4.5g,0.0g,20.0mg,400.0mg,43.0g,1.0g,25.0g,3.0g,0.0%,0.0%,0.0%,0.0%
The Boardwalk: Glazed with Oreo crumbles Powdered Sugar and Vanilla Drizzle,290.0,115.0,12.5g,4.5g,0.0g,20.0mg,415.0mg,45.0g,1.0g,26.0g,3.0g,0.0%,0.0%,0.0%,0.0%
Sunrise: Lemon Icing with Raspberry Drizzle,265.0,110.0,12.5g,4.5g,0.0g,20.0mg,390.0mg,40.0g,1.0g,22.0g,3.0g,0.0%,0.0%,0.0%,0.0%
French Toast: Maple Icing with Cinnamon Sugar and Powdered Sugar,280.0,110.0,12.5g,4.5g,0.0g,20.0mg,390.0mg,43.0g,1.0g,25.0g,3.0g,0.0%,0.0%,0.0%,0.0%
Smore's: Chocolate Icing with Marshmallow Drizzle and Graham Cracker Crumbs,275.0,120.0,13.5g,5.0g,0.0g,20.0mg,415.0mg,40.0g,1.0g,21.0g,3.0g,0.0%,0.0%,0.0%,0.0%
Sand Dollar: Vanilla Icing with Shredded Coconut and Powdered Sugar,300.0,125.0,14.5g,6.5g,0.0g,20.0mg,405.0mg,43.0g,1.0g,25.0g,3.0g,0.0%,0.0%,0.0%,0.0%
The Beach: Vanilla Icing and Cinnamon Sugar,270.0,110.0,12.5g,4.5g,0.0g,20.0mg,390.0mg,40.0g,1.0g,23.0g,3.0g,0.0%,0.0%,0.0%,0.0%
The Flip-Flop: Chocolate Icing and Vanilla Drizzle,275.0,120.0,13.5g,5.0g,0.0g,20.0mg,405.0mg,40.0g,1.0g,22.0g,3.0g,0.0%,0.0%,0.0%,0.0%
Coconut Island Bliss: Chocolate Icing with Peanuts and Shredded Coconut,320.0,160.0,18.5g,7.0g,0.0g,20.0mg,410.0mg,41.0g,1.0g,21.0g,4.0g,0.0%,0.0%,0.0%,0.0%
OBX Originals,3070.0,1390.0,155.5g,57.5g,0.0g,240.0mg,4710.0mg,427.0g,12.0g,213.0g,37.0g,0.0%,0.0%,0.0%,0.0%
Glazed w/ Chocolate Sprinkles,260.0,110.0,12.0g,4.5g,0.0g,20.0mg,390.0mg,39.0g,1.0g,20.0g,3.0g,0.0%,0.0%,0.0%,0.0%
Strawberry Icing,260.0,110.0,12.5g,4.5g,0.0g,20.0mg,390.0mg,37.0g,1.0g,20.0g,3.0g,0.0%,0.0%,0.0%,0.0%
Bare,210.0,110.0,12.0g,4.5g,0.0g,20.0mg,390.0mg,26.0g,1.0g,9.0g,3.0g,0.0%,0.0%,0.0%,0.0%
Vanilla Icing,260.0,110.0,12.5g,4.5g,0.0g,20.0mg,390.0mg,37.0g,1.0g,20.0g,3.0g,0.0%,0.0%,0.0%,0.0%
Glazed,250.0,110.0,12.0g,4.5g,0.0g,20.0mg,390.0mg,37.0g,1.0g,19.0g,3.0g,0.0%,0.0%,0.0%,0.0%
Chocolate Icing w/ Rainbow Sprinkles,275.0,120.0,13.5g,5.0g,0.0g,20.0mg,395.0mg,39.0g,1.0g,20.0g,3.0g,0.0%,0.0%,0.0%,0.0%
Powdered Sugar,220.0,110.0,12.0g,4.5g,0.0g,20.0mg,390.0mg,29.0g,1.0g,12.0g,3.0g,0.0%,0.0%,0.0%,0.0%
Chocolate Icing w/ Peanuts,290.0,145.0,16.5g,5.0g,0.0g,20.0mg,395.0mg,38.0g,1.0g,19.0g,4.0g,0.0%,0.0%,0.0%,0.0%
Cinnamon Sugar,220.0,110.0,12.0g,4.5g,0.0g,20.0mg,390.0mg,29.0g,1.0g,12.0g,3.0g,0.0%,0.0%,0.0%,0.0%
Vanilla Icing w/ Shredded Coconut,290.0,125.0,14.5g,6.5g,0.0g,20.0mg,405.0mg,40.0g,1.0g,22.0g,3.0g,0.0%,0.0%,0.0%,0.0%
Chocolate Icing,260.0,120.0,13.5g,5.0g,0.0g,20.0mg,395.0mg,37.0g,1.0g,19.0g,3.0g,0.0%,0.0%,0.0%,0.0%
Strawberry Icing w/ Rainbow Sprinkles,275.0,110.0,12.5g,4.5g,0.0g,20.0mg,390.0mg,39.0g,1.0g,21.0g,3.0g,0.0%,0.0%,0.0%,0.0%
Duck Dozen,3275.0,1400.0,157.5g,57.5g,0.0g,255.0mg,4965.0mg,470.0g,12.0g,256.0g,40.0g,2.0%,0.0%,0.0%,4.0%
Blueberry w/ Powdered Sugar,265.0,110.0,12.5g,4.5g,0.0g,20.0mg,390.0mg,40.0g,1.0g,22.0g,3.0g,0.0%,0.0%,0.0%,0.0%
Lemon Icing w/ Raspberry Drizzle,265.0,110.0,12.5g,4.5g,0.0g,20.0mg,390.0mg,40.0g,1.0g,22.0g,3.0g,0.0%,0.0%,0.0%,0.0%
Peanut Butter Icing w/ Chocolate Drizzle,315.0,130.0,14.5g,5.5g,0.0g,20.0mg,415.0mg,46.0g,1.0g,28.0g,4.0g,2.0%,0.0%,0.0%,4.0%
Chocolate icing w/ Vanilla Drizzle,275.0,120.0,13.5g,5.0g,0.0g,20.0mg,405.0mg,40.0g,1.0g,22.0g,3.0g,0.0%,0.0%,0.0%,0.0%
Maple Icing w/ Chopped Bacon,295.0,135.0,15.0g,5.5g,0.0g,35.0mg,580.0mg,37.0g,1.0g,19.0g,6.0g,0.0%,0.0%,0.0%,0.0%
Chocolate Icing w/ Rainbow Sprinkles,275.0,120.0,13.5g,5.0g,0.0g,20.0mg,395.0mg,39.0g,1.0g,20.0g,3.0g,0.0%,0.0%,0.0%,0.0%
Powdered Sugar,220.0,110.0,12.0g,4.5g,0.0g,20.0mg,390.0mg,29.0g,1.0g,12.0g,3.0g,0.0%,0.0%,0.0%,0.0%
Strawberry Icing w/ Powdered Sugar,270.0,110.0,12.5g,4.5g,0.0g,20.0mg,390.0mg,40.0g,1.0g,23.0g,3.0g,0.0%,0.0%,0.0%,0.0%
Cinnamon Sugar w/ Vanilla Icing,270.0,110.0,12.5g,4.5g,0.0g,20.0mg,390.0mg,40.0g,1.0g,23.0g,3.0g,0.0%,0.0%,0.0%,0.0%
Vanilla Icing w/ Oreo Crumbles,275.0,115.0,13.0g,4.5g,0.0g,20.0mg,405.0mg,39.0g,1.0g,21.0g,3.0g,0.0%,0.0%,0.0%,0.0%
Chocolate Icing w/ Graham Cracker Crumbs & Marshmallow Drizzle,275.0,120.0,13.5g,5.0g,0.0g,20.0mg,415.0mg,40.0g,1.0g,21.0g,3.0g,0.0%,0.0%,0.0%,0.0%
Vanilla Icing w/ Hot Fudge Drizzle,275.0,110.0,12.5g,4.5g,0.0g,20.0mg,400.0mg,40.0g,1.0g,23.0g,3.0g,0.0%,0.0%,0.0%,0.0%
Classic Assortment,3255.0,1450.0,162.5g,57.5g,0.0g,255.0mg,4925.0mg,455.0g,12.0g,239.0g,42.0g,2.0%,0.0%,0.0%,4.0%
Maple Icing with Chopped Bacon,295.0,135.0,15.0g,5.5g,0.0g,35.0mg,580.0mg,37.0g,1.0g,19.0g,6.0g,0.0%,0.0%,0.0%,0.0%
Vanilla Icing with Rainbow Sprinkles,275.0,110.0,12.5g,4.5g,0.0g,20.0mg,390.0mg,39.0g,1.0g,21.0g,3.0g,0.0%,0.0%,0.0%,0.0%
Chocolate Icing with Vanilla Drizzle,275.0,120.0,13.5g,5.0g,0.0g,20.0mg,405.0mg,40.0g,1.0g,22.0g,3.0g,0.0%,0.0%,0.0%,0.0%
Blueberry Icing with Powdered Sugar,265.0,110.0,12.5g,4.5g,0.0g,20.0mg,390.0mg,40.0g,1.0g,22.0g,3.0g,0.0%,0.0%,0.0%,0.0%
Peanut Butter Icing with Raspberry Drizzle,310.0,130.0,14.5g,5.5g,0.0g,20.0mg,405.0mg,46.0g,1.0g,28.0g,4.0g,2.0%,0.0%,0.0%,4.0%
Glazed with Peanuts,280.0,135.0,15.0g,4.5g,0.0g,20.0mg,390.0mg,38.0g,1.0g,19.0g,4.0g,0.0%,0.0%,0.0%,0.0%
Cinnamon Sugar,220.0,110.0,12.0g,4.5g,0.0g,20.0mg,390.0mg,29.0g,1.0g,12.0g,3.0g,0.0%,0.0%,0.0%,0.0%
Vanilla Icing with Oreo crumbles,275.0,115.0,13.0g,4.5g,0.0g,20.0mg,405.0mg,39.0g,1.0g,21.0g,3.0g,0.0%,0.0%,0.0%,0.0%
Powdered Sugar,220.0,110.0,12.0g,4.5g,0.0g,20.0mg,390.0mg,29.0g,1.0g,12.0g,3.0g,0.0%,0.0%,0.0%,0.0%
Chocolate Icing with Rainbow Sprinkles,275.0,120.0,13.5g,5.0g,0.0g,20.0mg,395.0mg,39.0g,1.0g,20.0g,3.0g,0.0%,0.0%,0.0%,0.0%
Chocolate Icing with Peanuts,290.0,145.0,16.5g,5.0g,0.0g,20.0mg,395.0mg,38.0g,1.0g,19.0g,4.0g,0.0%,0.0%,0.0%,0.0%
Strawberry Icing with Blackberry Drizzle,275.0,110.0,12.5g,4.5g,0.0g,20.0mg,390.0mg,41.0g,1.0g,24.0g,3.0g,0.0%,0.0%,0.0%,0.0%
Fan Favorites,7155.0,3010.0,340.0g,125.5g,0.0g,530.0mg,10450.0mg,1032.0g,25.0g,576.0g,85.0g,4.0%,0.0%,0.0%,8.0%
maple icing with chopped bacon and salted caramel drizzle,310.0,135.0,15.0g,5.5g,0.0g,35.0mg,590.0mg,40.0g,1.0g,22.0g,6.0g,0.0%,0.0%,0.0%,0.0%
vanilla icing with rainbow sprinkles & chocolate drizzle,290.0,110.0,12.5g,4.5g,0.0g,20.0mg,400.0mg,42.0g,1.0g,24.0g,3.0g,0.0%,0.0%,0.0%,0.0%
blueberry icing with lemon drizzle,270.0,110.0,12.5g,4.5g,0.0g,20.0mg,400.0mg,40.0g,1.0g,22.0g,3.0g,0.0%,0.0%,0.0%,0.0%
blueberry icing with maple drizzle & powdered sugar,280.0,110.0,12.5g,4.5g,0.0g,20.0mg,400.0mg,43.0g,1.0g,25.0g,3.0g,0.0%,0.0%,0.0%,0.0%
chocolate icing with peanuts & salted caramel drizzle,305.0,145.0,16.5g,5.0g,0.0g,20.0mg,405.0mg,41.0g,1.0g,22.0g,4.0g,0.0%,0.0%,0.0%,0.0%
strawberry icing with chocolate drizzle,275.0,110.0,12.5g,4.5g,0.0g,20.0mg,400.0mg,40.0g,1.0g,23.0g,3.0g,0.0%,0.0%,0.0%,0.0%
chocolate icing with oreo crumbles and hot fudge drizzle,290.0,125.0,14.0g,5.0g,0.0g,20.0mg,420.0mg,42.0g,1.0g,23.0g,3.0g,0.0%,0.0%,0.0%,0.0%
cinnamon sugar with vanilla drizzle,235.0,110.0,12.0g,4.5g,0.0g,20.0mg,400.0mg,32.0g,1.0g,15.0g,3.0g,0.0%,0.0%,0.0%,0.0%
chocolate icing with peanuts & coconut,320.0,160.0,18.5g,7.0g,0.0g,20.0mg,410.0mg,41.0g,1.0g,21.0g,4.0g,0.0%,0.0%,0.0%,0.0%
vanilla icing with oreo crumbles & hot fudge drizzle,290.0,115.0,13.0g,4.5g,0.0g,20.0mg,415.0mg,42.0g,1.0g,24.0g,3.0g,0.0%,0.0%,0.0%,0.0%
maple icing with powdered sugar & cinnamon sugar,280.0,110.0,12.5g,4.5g,0.0g,20.0mg,390.0mg,43.0g,1.0g,25.0g,3.0g,0.0%,0.0%,0.0%,0.0%
maple icing with chopped bacon,295.0,135.0,15.0g,5.5g,0.0g,35.0mg,580.0mg,37.0g,1.0g,19.0g,6.0g,0.0%,0.0%,0.0%,0.0%
chocolate icing with chocolate sprinkles,270.0,120.0,13.5g,5.0g,0.0g,20.0mg,395.0mg,39.0g,1.0g,20.0g,3.0g,0.0%,0.0%,0.0%,0.0%
peanut butter icing with raspberry drizzle,310.0,130.0,14.5g,5.5g,0.0g,20.0mg,405.0mg,46.0g,1.0g,28.0g,4.0g,2.0%,0.0%,0.0%,4.0%
peanut butter icing with chocolate drizzle,315.0,130.0,14.5g,5.5g,0.0g,20.0mg,415.0mg,46.0g,1.0g,28.0g,4.0g,2.0%,0.0%,0.0%,4.0%
lemon icing with shredded coconut,285.0,125.0,14.5g,6.5g,0.0g,20.0mg,405.0mg,40.0g,1.0g,21.0g,3.0g,0.0%,0.0%,0.0%,0.0%
glazed with raspberry & marshmallow drizzle,300.0,110.0,12.5g,4.5g,0.0g,20.0mg,390.0mg,49.0g,1.0g,30.0g,3.0g,0.0%,0.0%,0.0%,0.0%
